water_intake_id,water_intake_ml,date_recorded,time_recorded
1,1000,01/10/2023,09:00:00
2,1500,02/10/2023,10:00:00
3,2000,03/10/2023,11:00:00
4,2500,04/10/2023,12:00:00
5,3000,05/10/2023,13:00:00
6,2800,06/10/2023,14:00:00
7,2500,07/10/2023,15:00:00
8,2100,08/10/2023,16:00:00
9,2500,09/10/2023,17:00:00
10,2400,10/10/2023,18:00:00
11,2745,01/01/2024,22:32:12
12,1252,02/01/2024,18:40:04
13,3097,03/01/2024,07:26:48
14,3794,04/01/2024,05:16:15
15,1437,05/01/2024,10:11:16
16,3286,06/01/2024,17:13:38
17,2089,07/01/2024,05:09:44
18,3830,08/01/2024,20:11:57
19,2959,09/01/2024,21:57:49
20,2118,10/01/2024,15:07:01
21,1729,11/01/2024,17:18:55
22,2146,12/01/2024,07:31:31
23,2851,13/01/2024,16:59:17
24,3614,14/01/2024,16:46:43
25,1151,15/01/2024,03:55:17
26,1310,16/01/2024,20:41:50
27,1201,17/01/2024,08:02:57
28,3767,18/01/2024,07:37:43
29,3890,19/01/2024,02:21:16
30,2932,20/01/2024,13:05:21
31,2381,21/01/2024,03:31:55
32,1992,22/01/2024,05:55:46
33,2954,23/01/2024,09:46:49
34,3292,24/01/2024,18:15:37
35,1891,25/01/2024,16:22:03
36,2823,26/01/2024,05:31:40
37,2179,27/01/2024,06:54:27
38,1147,28/01/2024,13:03:59
39,3959,29/01/2024,13:55:06
40,1369,30/01/2024,11:13:44
41,3484,31/01/2024,15:47:27
42,3935,01/02/2024,08:02:47
43,1211,02/02/2024,01:39:14
44,2644,03/02/2024,15:48:46
45,1717,04/02/2024,06:28:12
46,2553,05/02/2024,13:16:02
47,3593,06/02/2024,23:33:19
48,1487,07/02/2024,14:07:30
49,3302,08/02/2024,00:56:43
50,1064,09/02/2024,10:53:20
51,3269,10/02/2024,02:11:19
52,1618,11/02/2024,07:07:09
53,3449,12/02/2024,07:10:06
54,2490,13/02/2024,03:26:19
55,3850,14/02/2024,11:34:14
56,2294,15/02/2024,08:18:32
57,1471,16/02/2024,17:39:51
58,1906,17/02/2024,15:48:33
59,1772,18/02/2024,11:47:58
60,3843,19/02/2024,05:15:30
61,3313,20/02/2024,21:40:57
62,3569,21/02/2024,04:24:25
63,3240,22/02/2024,17:27:28
64,1160,23/02/2024,07:35:17
65,3902,24/02/2024,01:51:23
66,2011,25/02/2024,08:16:18
67,3854,26/02/2024,07:11:27
68,1942,27/02/2024,19:59:18
69,1040,28/02/2024,17:27:54
70,3606,29/02/2024,11:57:38
71,1417,01/03/2024,00:56:05
72,3922,02/03/2024,15:11:10
73,3977,03/03/2024,14:53:34
74,2781,04/03/2024,05:37:00
75,3778,05/03/2024,23:48:47
76,1368,06/03/2024,14:51:43
77,1013,07/03/2024,00:00:56
78,1750,08/03/2024,19:18:56
79,2282,09/03/2024,15:52:24
80,2498,10/03/2024,14:31:25
81,3775,11/03/2024,23:39:39
82,1109,12/03/2024,04:27:51
83,3925,13/03/2024,14:37:53
84,1856,14/03/2024,02:16:49
85,1666,15/03/2024,02:30:48
86,1598,16/03/2024,10:04:47
87,3142,17/03/2024,01:31:23
88,2666,18/03/2024,21:31:33
89,1337,19/03/2024,19:58:51
90,3298,20/03/2024,21:23:20
91,1115,21/03/2024,15:57:38
92,10393,22/03/2024,14:18:36
93,10151,23/03/2024,09:53:38
94,8046,24/03/2024,07:23:41
95,8289,25/03/2024,09:34:58
96,8757,26/03/2024,03:33:17
97,8427,27/03/2024,10:07:34
98,10880,28/03/2024,12:39:30
99,9274,29/03/2024,10:24:47
100,10532,30/03/2024,06:29:42
101,10958,31/03/2024,15:33:40
102,8484,01/04/2024,08:44:31
103,9747,02/04/2024,02:23:09
104,8266,03/04/2024,23:42:39
105,9965,04/04/2024,12:48:43
106,10877,05/04/2024,20:14:32
107,9458,06/04/2024,18:22:01
108,9319,07/04/2024,07:25:52
109,8423,08/04/2024,06:52:54
110,8073,09/04/2024,12:15:33
111,9928,10/04/2024,22:24:41
112,9344,11/04/2024,22:22:46
113,9029,12/04/2024,04:52:32
114,8333,13/04/2024,04:52:57
115,8241,14/04/2024,15:14:27
116,10174,15/04/2024,15:01:31
117,8023,16/04/2024,09:35:24
118,10355,17/04/2024,05:25:55
119,8261,18/04/2024,15:54:45
120,9602,19/04/2024,11:15:58
121,10711,20/04/2024,22:39:39
122,9975,21/04/2024,03:13:03
123,9469,22/04/2024,00:40:25
124,10941,23/04/2024,22:24:37
125,8361,24/04/2024,14:58:08
126,8002,25/04/2024,09:27:04
127,10513,26/04/2024,06:31:00
128,9487,27/04/2024,04:23:33
129,9618,28/04/2024,15:56:54
130,8852,29/04/2024,05:53:00
131,10672,30/04/2024,23:18:53
132,9728,01/05/2024,15:44:33
133,9246,02/05/2024,12:27:43
134,8719,03/05/2024,17:29:26
135,9494,04/05/2024,09:34:30
136,8352,05/05/2024,22:00:07
137,9876,06/05/2024,05:25:29
138,9098,07/05/2024,12:44:25
139,9258,08/05/2024,19:51:35
140,9981,09/05/2024,11:55:51
141,10185,10/05/2024,05:40:25
142,8857,11/05/2024,09:51:40
143,10009,12/05/2024,07:30:25
